Report_ID,Report_Name,Report_Category,Reporting_Period,Deadline,Submission_Date,Status,Responsible_Team,Stakeholder,Error_Count,Manual_Interventions,Processing_Time_Hours,Stakeholder_Satisfaction,Report_Complexity
RPT-0001,Net Stable Funding Ratio (NSFR) - 2025-Q1,Net Stable Funding Ratio (NSFR),2025-Q1,2025-04-30,2025-05-04,Late,Regulatory Reporting - Liquidity,DNB,0,1,34.3,4,Medium
RPT-0002,COREP - Own Funds - 2024-Q4,COREP - Own Funds,2024-Q4,2025-01-30,2025-01-30,On Time,Regulatory Reporting - Capital,DNB,2,4,41.3,4,High
RPT-0003,Net Stable Funding Ratio (NSFR) - 2024-Q4,Net Stable Funding Ratio (NSFR),2024-Q4,2025-01-30,2025-01-30,On Time,Regulatory Reporting - Liquidity,DNB,1,3,14.7,4,Medium
RPT-0004,FINREP - Financial Reporting - 2025-Q1,FINREP - Financial Reporting,2025-Q1,2025-04-30,2025-05-04,Late,Regulatory Reporting - Capital,ECB,5,6,63.7,4,High
RPT-0005,Credit Risk RWA Report - 2025-M09,Credit Risk RWA Report,2025-M09,2025-10-15,2025-10-17,Late,Credit Risk Reporting,Internal Risk Committee,1,2,23.5,4,Medium
RPT-0006,AML/KYC Periodic Review - 2024-Q1,AML/KYC Periodic Review,2024-Q1,2024-04-30,2024-05-02,Late,AML & Compliance Reporting,Internal Compliance Committee,3,4,46.6,3,Medium
RPT-0007,Net Stable Funding Ratio (NSFR) - 2025-Q3,Net Stable Funding Ratio (NSFR),2025-Q3,2025-10-30,2025-10-31,Late,Regulatory Reporting - Liquidity,DNB,0,4,100.4,3,High
RPT-0008,Large Exposures Report - 2025-Q2,Large Exposures Report,2025-Q2,2025-07-30,2025-07-30,On Time,Credit Risk Reporting,ECB,1,1,18.2,4,Low
RPT-0009,DNB Statistical Report - 2025-M09,DNB Statistical Report,2025-M09,2025-10-15,2025-10-16,Late,Statistical Reporting,DNB,0,6,102.7,3,High
RPT-0010,Liquidity Coverage Ratio (LCR) - 2025-M07,Liquidity Coverage Ratio (LCR),2025-M07,2025-08-15,2025-08-13,On Time,Regulatory Reporting - Liquidity,DNB,1,1,26.0,4,Medium
RPT-0011,Liquidity Coverage Ratio (LCR) - 2024-M07,Liquidity Coverage Ratio (LCR),2024-M07,2024-08-15,2024-08-21,Missed,Regulatory Reporting - Liquidity,DNB,1,1,26.4,3,Medium
RPT-0012,Credit Risk RWA Report - 2024-M04,Credit Risk RWA Report,2024-M04,2024-05-15,2024-05-13,On Time,Credit Risk Reporting,Internal Risk Committee,0,0,7.0,5,Low
RPT-0013,Net Stable Funding Ratio (NSFR) - 2025-Q3,Net Stable Funding Ratio (NSFR),2025-Q3,2025-10-30,2025-10-26,On Time,Regulatory Reporting - Liquidity,DNB,0,0,12.4,4,Low
RPT-0014,DNB Statistical Report - 2025-M08,DNB Statistical Report,2025-M08,2025-09-15,2025-09-21,Missed,Statistical Reporting,DNB,7,8,71.1,2,High
RPT-0015,Basel III Leverage Ratio - 2024-Q4,Basel III Leverage Ratio,2024-Q4,2025-01-30,2025-01-30,On Time,Regulatory Reporting - Capital,ECB,0,3,93.0,5,High
RPT-0016,DNB Statistical Report - 2025-M04,DNB Statistical Report,2025-M04,2025-05-15,2025-05-16,Late,Statistical Reporting,DNB,2,2,51.6,3,High
RPT-0017,Large Exposures Report - 2025-Q2,Large Exposures Report,2025-Q2,2025-07-30,2025-07-31,Late,Credit Risk Reporting,ECB,2,6,24.3,3,Medium
RPT-0018,Credit Risk RWA Report - 2025-M02,Credit Risk RWA Report,2025-M02,2025-03-15,2025-03-18,Late,Credit Risk Reporting,Internal Risk Committee,3,6,71.0,3,High
RPT-0019,DNB Statistical Report - 2024-M08,DNB Statistical Report,2024-M08,2024-09-15,2024-09-16,Late,Statistical Reporting,DNB,0,0,5.5,4,Low
RPT-0020,FINREP - Financial Reporting - 2025-Q2,FINREP - Financial Reporting,2025-Q2,2025-07-30,2025-07-30,On Time,Regulatory Reporting - Capital,ECB,4,8,24.1,4,Medium
RPT-0021,Large Exposures Report - 2025-Q3,Large Exposures Report,2025-Q3,2025-10-30,2025-11-02,Late,Credit Risk Reporting,ECB,3,3,97.9,3,High
RPT-0022,Net Stable Funding Ratio (NSFR) - 2024-Q3,Net Stable Funding Ratio (NSFR),2024-Q3,2024-10-30,2024-10-28,On Time,Regulatory Reporting - Liquidity,DNB,0,6,93.9,5,High
RPT-0023,FINREP - Financial Reporting - 2024-Q1,FINREP - Financial Reporting,2024-Q1,2024-04-30,2024-05-01,Late,Regulatory Reporting - Capital,ECB,1,4,25.2,4,Medium
RPT-0024,COREP - Own Funds - 2025-Q3,COREP - Own Funds,2025-Q3,2025-10-30,2025-10-27,On Time,Regulatory Reporting - Capital,DNB,1,2,13.3,4,Low
RPT-0025,Net Stable Funding Ratio (NSFR) - 2024-Q2,Net Stable Funding Ratio (NSFR),2024-Q2,2024-07-30,2024-08-06,Missed,Regulatory Reporting - Liquidity,DNB,5,13,102.6,2,High
RPT-0026,Liquidity Coverage Ratio (LCR) - 2024-M08,Liquidity Coverage Ratio (LCR),2024-M08,2024-09-15,2024-09-15,On Time,Regulatory Reporting - Liquidity,DNB,1,2,34.7,4,Medium
RPT-0027,AnaCredit Report - 2024-M05,AnaCredit Report,2024-M05,2024-06-15,2024-06-19,Late,Credit Risk Reporting,DNB,6,8,97.4,3,High
RPT-0028,Credit Risk RWA Report - 2025-M07,Credit Risk RWA Report,2025-M07,2025-08-15,2025-08-18,Late,Credit Risk Reporting,Internal Risk Committee,0,2,19.7,4,Medium
RPT-0029,Credit Risk RWA Report - 2024-M09,Credit Risk RWA Report,2024-M09,2024-10-15,2024-10-18,Late,Credit Risk Reporting,Internal Risk Committee,6,5,83.5,3,High
RPT-0030,Net Stable Funding Ratio (NSFR) - 2024-Q2,Net Stable Funding Ratio (NSFR),2024-Q2,2024-07-30,2024-07-29,On Time,Regulatory Reporting - Liquidity,DNB,4,3,35.6,3,Medium
RPT-0031,COREP - Own Funds - 2024-Q1,COREP - Own Funds,2024-Q1,2024-04-30,2024-04-29,On Time,Regulatory Reporting - Capital,DNB,2,1,44.9,4,Medium
RPT-0032,DNB Statistical Report - 2024-M03,DNB Statistical Report,2024-M03,2024-04-15,2024-04-17,Late,Statistical Reporting,DNB,2,7,55.4,4,High
RPT-0033,Liquidity Coverage Ratio (LCR) - 2025-M08,Liquidity Coverage Ratio (LCR),2025-M08,2025-09-15,2025-09-16,Late,Regulatory Reporting - Liquidity,DNB,2,2,24.8,4,Medium
RPT-0034,Large Exposures Report - 2025-Q3,Large Exposures Report,2025-Q3,2025-10-30,2025-10-28,On Time,Credit Risk Reporting,ECB,1,3,12.2,4,Low
RPT-0035,Basel III Leverage Ratio - 2024-Q1,Basel III Leverage Ratio,2024-Q1,2024-04-30,2024-05-02,Late,Regulatory Reporting - Capital,ECB,1,4,38.9,4,Medium
RPT-0036,AML/KYC Periodic Review - 2024-Q2,AML/KYC Periodic Review,2024-Q2,2024-07-30,2024-08-03,Late,AML & Compliance Reporting,Internal Compliance Committee,2,6,20.0,4,Medium
RPT-0037,Liquidity Coverage Ratio (LCR) - 2024-M06,Liquidity Coverage Ratio (LCR),2024-M06,2024-07-15,2024-07-18,Late,Regulatory Reporting - Liquidity,DNB,1,2,50.9,4,Medium
RPT-0038,AnaCredit Report - 2025-M05,AnaCredit Report,2025-M05,2025-06-15,2025-06-17,Late,Credit Risk Reporting,DNB,1,8,56.7,3,High
RPT-0039,FINREP - Financial Reporting - 2024-Q1,FINREP - Financial Reporting,2024-Q1,2024-04-30,2024-05-01,Late,Regulatory Reporting - Capital,ECB,1,2,71.9,3,High
RPT-0040,Net Stable Funding Ratio (NSFR) - 2025-Q2,Net Stable Funding Ratio (NSFR),2025-Q2,2025-07-30,2025-07-27,On Time,Regulatory Reporting - Liquidity,DNB,1,1,25.9,4,Medium
RPT-0041,COREP - Own Funds - 2024-Q4,COREP - Own Funds,2024-Q4,2025-01-30,2025-01-30,On Time,Regulatory Reporting - Capital,DNB,4,6,91.5,4,High
RPT-0042,AnaCredit Report - 2025-M03,AnaCredit Report,2025-M03,2025-04-15,2025-04-08,On Time,Credit Risk Reporting,DNB,0,0,11.6,5,Low
RPT-0043,Net Stable Funding Ratio (NSFR) - 2024-Q1,Net Stable Funding Ratio (NSFR),2024-Q1,2024-04-30,2024-05-02,Late,Regulatory Reporting - Liquidity,DNB,5,6,92.8,3,High
RPT-0044,FINREP - Financial Reporting - 2025-Q2,FINREP - Financial Reporting,2025-Q2,2025-07-30,2025-07-31,Late,Regulatory Reporting - Capital,ECB,5,2,46.7,3,High
RPT-0045,AML/KYC Periodic Review - 2025-Q2,AML/KYC Periodic Review,2025-Q2,2025-07-30,2025-08-01,Late,AML & Compliance Reporting,Internal Compliance Committee,1,5,74.5,4,High
RPT-0046,FINREP - Financial Reporting - 2024-Q4,FINREP - Financial Reporting,2024-Q4,2025-01-30,2025-01-29,On Time,Regulatory Reporting - Capital,ECB,1,4,27.4,4,Medium
RPT-0047,AnaCredit Report - 2024-M03,AnaCredit Report,2024-M03,2024-04-15,2024-04-13,On Time,Credit Risk Reporting,DNB,3,2,44.6,4,Medium
RPT-0048,FINREP - Financial Reporting - 2025-Q1,FINREP - Financial Reporting,2025-Q1,2025-04-30,2025-04-25,On Time,Regulatory Reporting - Capital,ECB,4,5,26.7,4,Medium
RPT-0049,Net Stable Funding Ratio (NSFR) - 2024-Q2,Net Stable Funding Ratio (NSFR),2024-Q2,2024-07-30,2024-07-31,Late,Regulatory Reporting - Liquidity,DNB,4,3,38.9,3,Medium
RPT-0050,Liquidity Coverage Ratio (LCR) - 2024-M01,Liquidity Coverage Ratio (LCR),2024-M01,2024-02-15,2024-02-17,Late,Regulatory Reporting - Liquidity,DNB,1,2,10.3,4,Low
RPT-0051,FINREP - Financial Reporting - 2025-Q3,FINREP - Financial Reporting,2025-Q3,2025-10-30,2025-10-30,On Time,Regulatory Reporting - Capital,ECB,3,6,38.9,4,Medium
RPT-0052,AnaCredit Report - 2024-M12,AnaCredit Report,2024-M12,2025-01-15,2025-01-19,Late,Credit Risk Reporting,DNB,7,10,86.5,2,High
RPT-0053,AML/KYC Periodic Review - 2025-Q1,AML/KYC Periodic Review,2025-Q1,2025-04-30,2025-04-29,On Time,AML & Compliance Reporting,Internal Compliance Committee,3,5,25.3,4,Medium
RPT-0054,Liquidity Coverage Ratio (LCR) - 2025-M06,Liquidity Coverage Ratio (LCR),2025-M06,2025-07-15,2025-07-12,On Time,Regulatory Reporting - Liquidity,DNB,3,3,26.4,4,Medium
RPT-0055,Basel III Leverage Ratio - 2025-Q2,Basel III Leverage Ratio,2025-Q2,2025-07-30,2025-07-24,On Time,Regulatory Reporting - Capital,ECB,0,0,18.6,5,Low
RPT-0056,Large Exposures Report - 2024-Q2,Large Exposures Report,2024-Q2,2024-07-30,2024-07-25,On Time,Credit Risk Reporting,ECB,0,1,28.0,5,Medium
RPT-0057,Basel III Leverage Ratio - 2024-Q2,Basel III Leverage Ratio,2024-Q2,2024-07-30,2024-07-25,On Time,Regulatory Reporting - Capital,ECB,0,1,20.6,5,Medium
RPT-0058,COREP - Own Funds - 2025-Q2,COREP - Own Funds,2025-Q2,2025-07-30,2025-08-04,Late,Regulatory Reporting - Capital,DNB,2,9,28.9,4,Medium
RPT-0059,Basel III Leverage Ratio - 2025-Q1,Basel III Leverage Ratio,2025-Q1,2025-04-30,2025-05-02,Late,Regulatory Reporting - Capital,ECB,3,4,88.9,3,High
RPT-0060,Credit Risk RWA Report - 2024-M12,Credit Risk RWA Report,2024-M12,2025-01-15,2025-01-14,On Time,Credit Risk Reporting,Internal Risk Committee,0,3,18.6,4,Low
RPT-0061,DNB Statistical Report - 2024-M07,DNB Statistical Report,2024-M07,2024-08-15,2024-08-13,On Time,Statistical Reporting,DNB,2,4,10.3,4,Low
RPT-0062,AML/KYC Periodic Review - 2025-Q1,AML/KYC Periodic Review,2025-Q1,2025-04-30,2025-04-28,On Time,AML & Compliance Reporting,Internal Compliance Committee,1,3,2.0,5,Low
RPT-0063,Net Stable Funding Ratio (NSFR) - 2024-Q2,Net Stable Funding Ratio (NSFR),2024-Q2,2024-07-30,2024-07-29,On Time,Regulatory Reporting - Liquidity,DNB,4,2,28.1,3,Medium
RPT-0064,AnaCredit Report - 2025-M07,AnaCredit Report,2025-M07,2025-08-15,2025-08-17,Late,Credit Risk Reporting,DNB,4,5,47.8,3,High
RPT-0065,DNB Statistical Report - 2024-M06,DNB Statistical Report,2024-M06,2024-07-15,2024-07-15,On Time,Statistical Reporting,DNB,4,7,22.5,4,Medium
RPT-0066,FINREP - Financial Reporting - 2025-Q1,FINREP - Financial Reporting,2025-Q1,2025-04-30,2025-05-04,Late,Regulatory Reporting - Capital,ECB,3,3,66.2,3,High
RPT-0067,DNB Statistical Report - 2025-M02,DNB Statistical Report,2025-M02,2025-03-15,2025-03-16,Late,Statistical Reporting,DNB,0,1,20.0,4,Medium
RPT-0068,Liquidity Coverage Ratio (LCR) - 2025-M06,Liquidity Coverage Ratio (LCR),2025-M06,2025-07-15,2025-07-22,Missed,Regulatory Reporting - Liquidity,DNB,1,4,30.3,3,Medium
RPT-0069,Liquidity Coverage Ratio (LCR) - 2024-M10,Liquidity Coverage Ratio (LCR),2024-M10,2024-11-15,2024-11-13,On Time,Regulatory Reporting - Liquidity,DNB,0,0,18.3,5,Low
RPT-0070,DNB Statistical Report - 2024-M05,DNB Statistical Report,2024-M05,2024-06-15,2024-06-13,On Time,Statistical Reporting,DNB,1,2,6.4,4,Low
RPT-0071,Basel III Leverage Ratio - 2025-Q2,Basel III Leverage Ratio,2025-Q2,2025-07-30,2025-07-28,On Time,Regulatory Reporting - Capital,ECB,1,4,103.1,4,High
RPT-0072,Liquidity Coverage Ratio (LCR) - 2024-M09,Liquidity Coverage Ratio (LCR),2024-M09,2024-10-15,2024-10-15,On Time,Regulatory Reporting - Liquidity,DNB,3,6,114.4,4,High
RPT-0073,Basel III Leverage Ratio - 2024-Q1,Basel III Leverage Ratio,2024-Q1,2024-04-30,2024-04-29,On Time,Regulatory Reporting - Capital,ECB,1,3,49.3,4,High
RPT-0074,COREP - Own Funds - 2024-Q4,COREP - Own Funds,2024-Q4,2025-01-30,2025-02-01,Late,Regulatory Reporting - Capital,DNB,1,1,16.7,4,Low
RPT-0075,AnaCredit Report - 2025-M01,AnaCredit Report,2025-M01,2025-02-15,2025-02-16,Late,Credit Risk Reporting,DNB,1,3,77.4,3,High
RPT-0076,Basel III Leverage Ratio - 2025-Q1,Basel III Leverage Ratio,2025-Q1,2025-04-30,2025-05-02,Late,Regulatory Reporting - Capital,ECB,0,7,49.3,3,High
RPT-0077,Credit Risk RWA Report - 2025-M05,Credit Risk RWA Report,2025-M05,2025-06-15,2025-06-10,On Time,Credit Risk Reporting,Internal Risk Committee,0,0,10.2,4,Low
RPT-0078,FINREP - Financial Reporting - 2025-Q1,FINREP - Financial Reporting,2025-Q1,2025-04-30,2025-04-27,On Time,Regulatory Reporting - Capital,ECB,0,1,47.7,5,Medium
RPT-0079,AnaCredit Report - 2024-M01,AnaCredit Report,2024-M01,2024-02-15,2024-02-18,Late,Credit Risk Reporting,DNB,0,2,6.4,4,Low
RPT-0080,Basel III Leverage Ratio - 2024-Q3,Basel III Leverage Ratio,2024-Q3,2024-10-30,2024-11-03,Late,Regulatory Reporting - Capital,ECB,3,7,78.5,3,High
